ORPHA:58	Alexander disease
ORPHA:2613	Nail-patella-like renal disease
ORPHA:672	Pallister-Hall syndrome
ORPHA:2155	Hirschsprung disease-deafness-polydactyly syndrome
ORPHA:2150	Hirschsprung disease-type D brachydactyly syndrome
ORPHA:2136	Hennekam syndrome
ORPHA:85319	X-linked intellectual disability-epilepsy-progressive joint contractures-dysmorphism syndrome
ORPHA:1134	Isolated arrhinia
ORPHA:2462	Shprintzen-Goldberg syndrome
ORPHA:2563	MOMO syndrome
ORPHA:2347	Lethal Kniest-like dysplasia
ORPHA:2484	Melnick-Needles syndrome
ORPHA:2485	Melorheostosis
ORPHA:561	Marshall-Smith syndrome
ORPHA:2470	Matthew-Wood syndrome
ORPHA:99771	Bifid uvula
ORPHA:2319	Juberg-Hayward syndrome
ORPHA:2328	Kapur-Toriello syndrome
ORPHA:298	Mitochondrial neurogastrointestinal encephalomyopathy
ORPHA:99921	Chronic graft versus host disease
ORPHA:2988	Pterygium colli-intellectual disability-digital anomalies syndrome
ORPHA:50251	Pleural mesothelioma
ORPHA:1655	Müllerian derivatives-lymphangiectasia-polydactyly syndrome
ORPHA:268882	Arnold-Chiari malformation type I
ORPHA:1662	Restrictive dermopathy
ORPHA:2834	Wrinkly skin syndrome
ORPHA:1596	Distal deletion 15q
ORPHA:99413	Turner syndrome due to structural X chromosome anomalies
ORPHA:99226	Monosomy X
ORPHA:99228	Mosaic monosomy X
ORPHA:3175	X-linked spasticity-intellectual disability-epilepsy syndrome
ORPHA:220	Denys-Drash syndrome
ORPHA:34587	Glycogen storage disease due to LAMP-2 deficiency
ORPHA:2962	De Barsy syndrome
ORPHA:252054	Hemangioblastoma
ORPHA:97289	Thymic neuroendocrine tumor
ORPHA:3455	Wiedemann-Rautenstrauch syndrome
ORPHA:168796	Heart-hand syndrome, Slovenian type
ORPHA:103910	Congenital enterocyte heparan sulfate deficiency
ORPHA:228190	Patent ductus arteriosus-bicuspid aortic valve-hand anomalies syndrome
ORPHA:71212	Hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency
ORPHA:721	Gray platelet syndrome
ORPHA:1479	Atrial septal defect-atrioventricular conduction defects syndrome
ORPHA:83620	Enteric anendocrinosis
ORPHA:3097	Meacham syndrome
ORPHA:2513	Microcephaly-albinism-digital anomalies syndrome
ORPHA:2511	Microbrachycephaly-ptosis-cleft lip syndrome
ORPHA:2516	Microcephaly-cardiac defect-lung malsegmentation syndrome
ORPHA:2515	Microcephaly-cardiomyopathy syndrome
ORPHA:171844	Blindness-scoliosis-arachnodactyly syndrome
ORPHA:2089	Glycogen storage disease due to hepatic glycogen synthase deficiency
ORPHA:2900	Leri pleonosteosis
ORPHA:2917	Polydactyly-myopia syndrome
ORPHA:2753	Orofaciodigital syndrome type 4
ORPHA:2896	Pitt-Hopkins syndrome
ORPHA:2461	Marden-Walker syndrome
ORPHA:1832	Lethal osteosclerotic bone dysplasia
ORPHA:2636	Microcephalic osteodysplastic primordial dwarfism types I and III
ORPHA:559	Marinesco-Sjögren syndrome
ORPHA:2201	Palmoplantar keratoderma-spastic paralysis syndrome
ORPHA:2202	Palmoplantar keratoderma-deafness syndrome
ORPHA:312	Autosomal dominant epidermolytic ichthyosis
ORPHA:2198	Palmoplantar keratoderma-esophageal carcinoma syndrome
ORPHA:257	Epidermolysis bullosa simplex with muscular dystrophy
ORPHA:2189	Hydrolethalus
ORPHA:1899	Arthrochalasia Ehlers-Danlos syndrome
ORPHA:1901	Dermatosparaxis Ehlers-Danlos syndrome
ORPHA:2251	Thumb deformity-alopecia-pigmentation anomaly syndrome
ORPHA:2250	Hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome
ORPHA:2249	Ulna hypoplasia-intellectual disability syndrome
ORPHA:2220	Hypertrichosis cubiti
ORPHA:2218	Cervical hypertrichosis-peripheral neuropathy syndrome
ORPHA:2213	Hypertelorism-microtia-facial clefting syndrome
ORPHA:2211	Hypertelorism-hypospadias-polysyndactyly syndrome
ORPHA:2206	Ankylosing vertebral hyperostosis with tylosis
ORPHA:295036	Congenital patella dislocation
ORPHA:45	Adenosine monophosphate deaminase deficiency
ORPHA:40366	Acitretin/etretinate embryopathy
ORPHA:159	Carnitine-acylcarnitine translocase deficiency
ORPHA:60039	Pudendal neuralgia
ORPHA:3411	Double uterus-hemivagina-renal agenesis syndrome
ORPHA:2804	W syndrome
ORPHA:300536	DDOST-CDG
ORPHA:2215	Multiple pterygium-malignant hyperthermia syndrome
ORPHA:3469	XK aprosencephaly syndrome
ORPHA:2789	Lateral meningocele syndrome
ORPHA:2802	X-linked sideroblastic anemia and spinocerebellar ataxia
ORPHA:123	Björnstad syndrome
ORPHA:2221	Acquired hypertrichosis lanuginosa
ORPHA:137834	Frank-Ter Haar syndrome
ORPHA:2326	Kallmann syndrome-heart disease syndrome
ORPHA:1333	Familial pancreatic carcinoma
ORPHA:3093	Congenital aortic valve stenosis
ORPHA:1446	Ring chromosome 22 syndrome
ORPHA:1020	Early-onset autosomal dominant Alzheimer disease
ORPHA:34516	DNAJB6-related limb-girdle muscular dystrophy D1
ORPHA:36899	Myoclonus-dystonia syndrome
ORPHA:43393	Lambert-Eaton myasthenic syndrome
ORPHA:52430	Inclusion body myopathy with Paget disease of bone and frontotemporal dementia
ORPHA:264450	Trisomy 8p
ORPHA:70594	Dopa-responsive dystonia due to sepiapterin reductase deficiency
ORPHA:96097	Distal duplication 5q
ORPHA:73245	Spinal muscular atrophy-Dandy-Walker malformation-cataracts syndrome
ORPHA:73229	HANAC syndrome
ORPHA:436252	Combined immunodeficiency-enteropathy spectrum
ORPHA:2898	X-linked intellectual disability-plagiocephaly syndrome
ORPHA:3134	SCARF syndrome
ORPHA:3138	Ulnar-mammary syndrome
ORPHA:3197	Hereditary hyperekplexia
ORPHA:3201	Ventricular extrasystoles with syncopal episodes-perodactyly-Robin sequence syndrome
ORPHA:3199	Stimmler syndrome
ORPHA:3214	Deaf blind hypopigmentation syndrome, Yemenite type
ORPHA:3210	Summitt syndrome
ORPHA:2564	Tetramelic monodactyly
ORPHA:2588	Myhre syndrome
ORPHA:2521	Microcephaly-cleft palate-abnormal retinal pigmentation syndrome
ORPHA:3451	Infantile spasms syndrome
ORPHA:2707	Oculocerebrofacial syndrome, Kaufman type
ORPHA:357074	Autosomal recessive cutis laxa type 2, classic type
ORPHA:2672	Neuhauser-Eichner-Opitz syndrome
ORPHA:2703	Port-wine nevi-mega cisterna magna-hydrocephalus syndrome
ORPHA:2728	Blepharophimosis-intellectual disability syndrome, Ohdo type
ORPHA:2759	Imperforate oropharynx-costovertebral anomalies syndrome
ORPHA:2730	Postaxial tetramelic oligodactyly
ORPHA:2743	Ophthalmoplegia-intellectual disability-lingua scrotalis syndrome
ORPHA:2926	Digital extensor muscle aplasia-polyneuropathy
ORPHA:2997	Ptosis-vocal cord paralysis syndrome
ORPHA:2769	Familial osteodysplasia, Anderson type
ORPHA:2838	Renal caliceal diverticuli-deafness syndrome
ORPHA:3194	Corneodermatoosseous syndrome
ORPHA:3459	Wilson-Turner syndrome
ORPHA:3016	Absent radius-anogenital anomalies syndrome
ORPHA:3015	Radio-renal syndrome
ORPHA:2538	Microgastria-limb reduction defect syndrome
ORPHA:3412	VACTERL with hydrocephalus
ORPHA:3350	Tremor-nystagmus-duodenal ulcer syndrome
ORPHA:3294	Extensor tendons of finger anomalies
ORPHA:391	Classic Hodgkin lymphoma
ORPHA:282166	Inherited Creutzfeldt-Jakob disease
ORPHA:3163	SHORT syndrome
ORPHA:33445	Neuroectodermal melanolysosomal disease
ORPHA:1101	Anophthalmia-megalocornea-cardiopathy-skeletal anomalies syndrome
ORPHA:100078	Ileal neuroendocrine tumor
ORPHA:276432	Ogden syndrome
ORPHA:401768	Proximal myopathy with extrapyramidal signs
ORPHA:178464	Hereditary myopathy with early respiratory failure
ORPHA:486815	Congenital muscular dystrophy-respiratory failure-skin abnormalities-joint hyperlaxity syndrome
ORPHA:98853	Autosomal dominant Emery-Dreifuss muscular dystrophy
ORPHA:98855	Autosomal recessive Emery-Dreifuss muscular dystrophy
ORPHA:98863	X-linked Emery-Dreifuss muscular dystrophy
ORPHA:411493	Pontocerebellar hypoplasia type 10
ORPHA:169186	Autosomal recessive centronuclear myopathy
ORPHA:99944	Autosomal dominant Charcot-Marie-Tooth disease type 2K
ORPHA:34515	FKRP-related limb-girdle muscular dystrophy R9
ORPHA:171881	Cap myopathy
ORPHA:457193	Autosomal dominant intellectual disability-craniofacial anomalies-cardiac defects syndrome
ORPHA:319182	Wiedemann-Steiner syndrome
ORPHA:363623	GMPPB-related limb-girdle muscular dystrophy R19
ORPHA:363454	BICD2-related autosomal dominant childhood-onset proximal spinal muscular atrophy
ORPHA:178145	Moderate multiminicore disease with hand involvement
ORPHA:178148	Antenatal multiminicore disease with arthrogryposis multiplex congenita
ORPHA:314632	ATP13A2-related juvenile neuronal ceroid lipofuscinosis
ORPHA:404499	Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to RUBCN deficiency
ORPHA:171430	Severe congenital nemaline myopathy
ORPHA:171436	Typical nemaline myopathy
ORPHA:324604	Classic multiminicore myopathy
ORPHA:97355	Caribbean parkinsonism
ORPHA:420485	Cranio-cervical dystonia with laryngeal and upper-limb involvement
ORPHA:309854	Cirrhosis-dystonia-polycythemia-hypermanganesemia syndrome
ORPHA:93958	Oromandibular dystonia
ORPHA:412057	Autosomal recessive cerebellar ataxia due to STUB1 deficiency
ORPHA:411602	Hereditary late-onset Parkinson disease
ORPHA:363654	X-linked parkinsonism-spasticity syndrome
ORPHA:171695	Parkinsonian-pyramidal syndrome
ORPHA:238455	Infantile dystonia-parkinsonism
ORPHA:267	Calpain-3-related limb-girdle muscular dystrophy R1
ORPHA:119	Beta-sarcoglycan-related limb-girdle muscular dystrophy R4
ORPHA:53583	Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity
ORPHA:370980	Congenital muscular dystrophy without intellectual disability
ORPHA:169189	Autosomal dominant centronuclear myopathy
ORPHA:307	Juvenile myoclonic epilepsy
ORPHA:508410	Familial intestinal malrotation
ORPHA:86812	POMT1-related limb-girdle muscular dystrophy R11
ORPHA:217012	Spinocerebellar ataxia type 31
ORPHA:280200	Microform holoprosencephaly
ORPHA:98772	Spinocerebellar ataxia type 19/22
ORPHA:211017	Spinocerebellar ataxia type 30
ORPHA:101082	Charcot-Marie-Tooth disease type 1B
ORPHA:423296	Spinocerebellar ataxia type 38
ORPHA:101081	Charcot-Marie-Tooth disease type 1A
ORPHA:457260	X-linked intellectual disability-hypotonia-movement disorder syndrome
ORPHA:62	Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3
ORPHA:98902	Amish nemaline myopathy
ORPHA:590	Congenital myasthenic syndrome
ORPHA:609	Tibial muscular dystrophy
ORPHA:423	Malignant hyperthermia of anesthesia
ORPHA:644	NARP syndrome
ORPHA:684	Paramyotonia congenita of Von Eulenburg
ORPHA:171433	Intermediate nemaline myopathy
ORPHA:424107	Congenital myopathy with myasthenic-like onset
ORPHA:99811	Neuronal intestinal pseudoobstruction
ORPHA:64752	Hereditary sensory and autonomic neuropathy type 5
ORPHA:219	Delta-sarcoglycan-related limb-girdle muscular dystrophy R6
ORPHA:324581	Benign Samaritan congenital myopathy
ORPHA:357043	Amyotrophic lateral sclerosis type 4
ORPHA:369840	TRAPPC11-related limb-girdle muscular dystrophy R18
ORPHA:101111	Spinocerebellar ataxia type 25
ORPHA:458798	Spinocerebellar ataxia type 41
ORPHA:458803	Spinocerebellar ataxia type 42
ORPHA:306741	Hemidystonia-hemiatrophy syndrome
ORPHA:98761	Spinocerebellar ataxia type 10
ORPHA:100996	Autosomal recessive spastic paraplegia type 15
ORPHA:100998	Autosomal dominant spastic paraplegia type 17
ORPHA:94125	Recessive mitochondrial ataxia syndrome
ORPHA:251347	Ataxia-telangiectasia-like disorder
ORPHA:101000	Autosomal recessive spastic paraplegia type 20
ORPHA:101001	Autosomal recessive spastic paraplegia type 21
ORPHA:101003	Autosomal recessive spastic paraplegia type 23
ORPHA:101004	Autosomal recessive spastic paraplegia type 24
ORPHA:101006	Autosomal recessive spastic paraplegia type 26
ORPHA:101007	Autosomal recessive spastic paraplegia type 27
ORPHA:98765	Spinocerebellar ataxia type 4
ORPHA:98764	Spinocerebellar ataxia type 27
ORPHA:98769	Spinocerebellar ataxia type 15/16
ORPHA:98768	Spinocerebellar ataxia type 13
ORPHA:314404	Autosomal dominant cerebellar ataxia-deafness-narcolepsy syndrome
ORPHA:98771	Spinocerebellar ataxia type 18
ORPHA:401866	Childhood-onset spasticity with hyperglycinemia
ORPHA:423275	Spinocerebellar ataxia type 40
ORPHA:313772	Early-onset spastic ataxia-myoclonic epilepsy-neuropathy syndrome
ORPHA:254343	Autosomal recessive spastic ataxia-optic atrophy-dysarthria syndrome
ORPHA:447896	Tremor-ataxia-central hypomyelination syndrome
ORPHA:314603	Autosomal recessive spastic ataxia with leukoencephalopathy
ORPHA:75567	Primary progressive freezing gait
ORPHA:314978	X-linked non progressive cerebellar ataxia
ORPHA:1175	X-linked progressive cerebellar ataxia
ORPHA:157941	Huntington disease-like 1
ORPHA:98934	Huntington disease-like 2
ORPHA:459056	Autosomal recessive spastic paraplegia type 75
ORPHA:306669	Hemiparkinsonism-hemiatrophy syndrome
ORPHA:98914	Presynaptic congenital myasthenic syndromes
ORPHA:98913	Postsynaptic congenital myasthenic syndromes
ORPHA:94122	Cerebellar ataxia, Cayman type
ORPHA:247815	Autosomal recessive ataxia due to PEX10 deficiency
ORPHA:353	Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5
ORPHA:98915	Synaptic congenital myasthenic syndromes
ORPHA:206549	Anoctamin-5-related limb-girdle muscular dystrophy R12
ORPHA:98905	Congenital multicore myopathy with external ophthalmoplegia
ORPHA:353327	Congenital myasthenic syndromes with glycosylation defect
ORPHA:254892	Autosomal dominant progressive external ophthalmoplegia
ORPHA:254886	Autosomal recessive progressive external ophthalmoplegia
ORPHA:320385	Hereditary sensory and autonomic neuropathy due to TECPR2 mutation
ORPHA:320380	Autosomal recessive spastic paraplegia type 54
ORPHA:320375	Autosomal recessive spastic paraplegia type 55
ORPHA:320370	Autosomal recessive spastic paraplegia type 43
ORPHA:209970	Episodic ataxia type 7
ORPHA:284271	Autosomal recessive cerebellar ataxia-psychomotor delay syndrome
ORPHA:95434	Autosomal recessive cerebellar ataxia-movement disorder syndrome
ORPHA:88628	Posterior column ataxia-retinitis pigmentosa syndrome
ORPHA:101008	Autosomal recessive spastic paraplegia type 28
ORPHA:401849	Autosomal spastic paraplegia type 72
ORPHA:401953	Episodic ataxia with slurred speech
ORPHA:211067	Episodic ataxia type 5
ORPHA:488594	Autosomal recessive spastic paraplegia type 76
ORPHA:447760	Autosomal recessive spastic paraplegia type 9B
ORPHA:171607	X-linked spastic paraplegia type 34
ORPHA:401785	Autosomal recessive spastic paraplegia type 62
ORPHA:208513	Spinocerebellar ataxia type 29
ORPHA:329284	Beta-propeller protein-associated neurodegeneration
ORPHA:324262	Autosomal recessive congenital cerebellar ataxia due to MGLUR1 deficiency
ORPHA:363432	Autosomal recessive congenital cerebellar ataxia due to GRID2 deficiency
ORPHA:101110	Spinocerebellar ataxia type 20
ORPHA:216866	Classic pantothenate kinase-associated neurodegeneration
ORPHA:2821	Spastic paraplegia-neuropathy-poikiloderma syndrome
ORPHA:2754	Orofaciodigital syndrome type 6
ORPHA:306734	Primary dystonia, DYT21 type
ORPHA:494541	Childhood-onset benign chorea with striatal involvement
ORPHA:216873	Atypical pantothenate kinase-associated neurodegeneration
ORPHA:329466	Autosomal dominant focal dystonia, DYT25 type
ORPHA:306674	Kufor-Rakeb syndrome
ORPHA:97349	Postencephalitic parkinsonism
ORPHA:85292	X-linked spinocerebellar ataxia type 4
ORPHA:98	Autosomal recessive spastic ataxia of Charlevoix-Saguenay
ORPHA:306686	Delayed encephalopathy due to carbon monoxide poisoning
ORPHA:306682	Manganese poisoning
ORPHA:98806	Primary dystonia, DYT6 type
ORPHA:98805	Primary dystonia, DYT4 type
ORPHA:369939	Severe motor and intellectual disabilities-sensorineural deafness-dystonia syndrome
ORPHA:100069	Semantic dementia
ORPHA:306692	Cyanide-induced parkinsonism-dystonia
ORPHA:101108	Spinocerebellar ataxia type 23
ORPHA:98773	Spinocerebellar ataxia type 21
ORPHA:420741	RIDDLE syndrome
ORPHA:397715	Joubert syndrome with Jeune asphyxiating thoracic dystrophy
ORPHA:445062	Juvenile-onset diabetes mellitus-central and peripheral neurodegeneration syndrome
ORPHA:83600	Encephalitis lethargica
ORPHA:163727	Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome
ORPHA:101109	Spinocerebellar ataxia type 28
ORPHA:98763	Spinocerebellar ataxia type 14
ORPHA:98762	Spinocerebellar ataxia type 12
ORPHA:98760	Spinocerebellar ataxia type 8
ORPHA:251282	Autosomal dominant spastic ataxia type 1
ORPHA:444099	Autosomal dominant spastic paraplegia type 73
ORPHA:171617	Autosomal dominant spastic paraplegia type 38
ORPHA:320355	Autosomal dominant spastic paraplegia type 41
ORPHA:171863	Autosomal dominant spastic paraplegia type 42
ORPHA:171612	Autosomal dominant spastic paraplegia type 37
ORPHA:100999	Autosomal dominant spastic paraplegia type 19
ORPHA:100993	Autosomal dominant spastic paraplegia type 12
ORPHA:100989	Autosomal dominant spastic paraplegia type 8
ORPHA:404493	Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to TUD deficiency
ORPHA:284282	Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to WWOX deficiency
ORPHA:71518	Benign paroxysmal torticollis of infancy
ORPHA:37612	Episodic ataxia type 1
ORPHA:209967	Episodic ataxia type 6
ORPHA:320401	Autosomal recessive spastic paraplegia type 44
ORPHA:412217	Dystonia-aphonia syndrome
ORPHA:319199	Autosomal recessive spastic paraplegia type 53
ORPHA:320391	Autosomal recessive spastic paraplegia type 46
ORPHA:101005	Autosomal recessive spastic paraplegia type 25
ORPHA:139480	Autosomal recessive spastic paraplegia type 39
ORPHA:79137	Generalized epilepsy-paroxysmal dyskinesia syndrome
ORPHA:101009	Autosomal dominant spastic paraplegia type 29
ORPHA:306731	Sydenham chorea
ORPHA:199351	Adult-onset dystonia-parkinsonism
ORPHA:320365	Autosomal dominant spastic paraplegia type 36
ORPHA:66624	PANDAS
ORPHA:276198	Spinocerebellar ataxia type 36
ORPHA:497764	Spinocerebellar ataxia type 43
ORPHA:100994	Autosomal dominant spastic paraplegia type 13
ORPHA:99013	Spastic paraplegia type 7
ORPHA:157835	Paroxysmal hemicrania
ORPHA:101011	Autosomal dominant spastic paraplegia type 31
ORPHA:397946	Autosomal spastic paraplegia type 58
ORPHA:100988	Autosomal dominant spastic paraplegia type 6
ORPHA:98808	Autosomal dominant dopa-responsive dystonia
ORPHA:171629	Autosomal recessive spastic paraplegia type 35
ORPHA:100997	X-linked spastic paraplegia type 16
ORPHA:401780	Autosomal recessive spastic paraplegia type 61
ORPHA:320396	Autosomal recessive spastic paraplegia type 45
ORPHA:320411	Autosomal recessive spastic paraplegia type 56
ORPHA:101010	Autosomal spastic paraplegia type 30
ORPHA:306511	Autosomal recessive spastic paraplegia type 48
ORPHA:100986	Autosomal recessive spastic paraplegia type 5A
ORPHA:100995	Autosomal recessive spastic paraplegia type 14
ORPHA:641	Multifocal motor neuropathy
ORPHA:266	Autosomal dominant limb-girdle muscular dystrophy type 1A
ORPHA:79136	Episodic ataxia type 4
ORPHA:83629	Leukoencephalopathy-spondyloepimetaphyseal dysplasia syndrome
ORPHA:85447	ATTRV30M amyloidosis
ORPHA:401810	Autosomal recessive spastic paraplegia type 64
ORPHA:401805	Autosomal recessive spastic paraplegia type 63
ORPHA:139485	Autosomal recessive ataxia due to ubiquinone deficiency
ORPHA:314647	Non-progressive cerebellar ataxia with intellectual disability
ORPHA:276193	Spinocerebellar ataxia type 35
ORPHA:101112	Spinocerebellar ataxia type 26
ORPHA:284289	Adult-onset autosomal recessive cerebellar ataxia
ORPHA:284324	Childhood-onset autosomal recessive slowly progressive spinocerebellar ataxia
ORPHA:284332	Infantile-onset autosomal recessive nonprogressive cerebellar ataxia
ORPHA:352403	Spectrin-associated autosomal recessive cerebellar ataxia
ORPHA:3177	Spinocerebellar degeneration-corneal dystrophy syndrome
ORPHA:2589	Myoclonus-cerebellar ataxia-deafness syndrome
ORPHA:431361	Progressive encephalopathy with leukodystrophy due to DECR deficiency
ORPHA:238722	Familial congenital mirror movements
ORPHA:453521	Autosomal recessive cerebellar ataxia due to CWF19L1 deficiency
ORPHA:309271	Metachromatic leukodystrophy, adult form
ORPHA:309263	Metachromatic leukodystrophy, juvenile form
ORPHA:309256	Metachromatic leukodystrophy, late infantile form
ORPHA:289560	Mitochondrial membrane protein-associated neurodegeneration
ORPHA:98810	Paroxysmal non-kinesigenic dyskinesia
ORPHA:98809	Paroxysmal kinesigenic dyskinesia
ORPHA:248111	Juvenile Huntington disease
ORPHA:247234	Sporadic adult-onset ataxia of unknown etiology
ORPHA:64753	Spinocerebellar ataxia with axonal neuropathy type 2
ORPHA:100985	Autosomal dominant spastic paraplegia type 4
ORPHA:100984	Autosomal dominant spastic paraplegia type 3
ORPHA:97	Familial paroxysmal ataxia
ORPHA:1177	Early-onset cerebellar ataxia with retained tendon reflexes
ORPHA:98758	Spinocerebellar ataxia type 6
ORPHA:94147	Spinocerebellar ataxia type 7
ORPHA:98933	Multiple system atrophy, parkinsonian type
ORPHA:227510	Multiple system atrophy, cerebellar type
ORPHA:102	Multiple system atrophy
ORPHA:53351	X-linked dystonia-parkinsonism
ORPHA:466688	Severe intellectual disability-corpus callosum agenesis-facial dysmorphism-cerebellar ataxia syndrome
ORPHA:466794	Acute infantile liver failure-cerebellar ataxia-peripheral sensory motor neuropathy syndrome
ORPHA:101150	Autosomal recessive dopa-responsive dystonia
ORPHA:438114	RARS-related autosomal recessive hypomyelinating leukodystrophy
ORPHA:98755	Spinocerebellar ataxia type 1
ORPHA:98756	Spinocerebellar ataxia type 2
ORPHA:466934	VPS11-related autosomal recessive hypomyelinating leukodystrophy
ORPHA:101	Dentatorubral pallidoluysian atrophy
ORPHA:529962	17q24.2 microdeletion syndrome
ORPHA:2756	Orofaciodigital syndrome type 10
ORPHA:521426	PLAA-associated neurodevelopmental disorder
ORPHA:2015	Cleft palate-short stature-vertebral anomalies syndrome
ORPHA:2519	Microcephaly-seizures-intellectual disability-heart disease syndrome
ORPHA:3473	Zimmermann-Laband syndrome
ORPHA:3433	Microcephaly-brachydactyly-kyphoscoliosis syndrome
ORPHA:3304	Fallot complex-intellectual disability-growth delay syndrome
ORPHA:521445	Microcephaly-facial dysmorphism-ocular anomalies-multiple congenital anomalies syndrome
ORPHA:1401	CHAND syndrome
ORPHA:225154	Familial infantile bilateral striatal necrosis
ORPHA:225147	Sporadic infantile bilateral striatal necrosis
ORPHA:3240	Central nervous system calcification-deafness-tubular acidosis-anemia syndrome
ORPHA:2729	Okamoto syndrome
ORPHA:1383	Cataract-deafness-hypogonadism syndrome
ORPHA:1272	Aymé-Gripp syndrome
ORPHA:56305	Atelosteogenesis type III
ORPHA:73223	Global developmental delay-osteopenia-ectodermal defect syndrome
ORPHA:268940	Bilateral polymicrogyria
ORPHA:56304	Atelosteogenesis type II
ORPHA:3352	Tricho-dento-osseous syndrome
ORPHA:268943	Unilateral polymicrogyria
ORPHA:91416	Isolated congenital alacrima
ORPHA:527497	NKX6-2-related autosomal recessive hypomyelinating leukodystrophy
ORPHA:79350	3-phosphoserine phosphatase deficiency, infantile/juvenile form
ORPHA:521411	Autosomal recessive axonal Charcot-Marie-Tooth disease due to copper metabolism defect
ORPHA:88619	Familial acute necrotizing encephalopathy
ORPHA:529808	Chronic bilirubin encephalopathy
ORPHA:77299	Microphthalmia-brain atrophy syndrome
ORPHA:73230	Ossification anomalies-psychomotor developmental delay syndrome
ORPHA:529799	Acute bilirubin encephalopathy
ORPHA:501	Lafora disease
ORPHA:90103	Charcot-Marie-Tooth disease-deafness-intellectual disability syndrome
ORPHA:2339	Keratosis follicularis-dwarfism-cerebral atrophy syndrome
ORPHA:204	Sporadic Creutzfeldt-Jakob disease
ORPHA:83617	Agammaglobulinemia-microcephaly-craniosynostosis-severe dermatitis syndrome
ORPHA:79351	3-phosphoglycerate dehydrogenase deficiency, infantile/juvenile form
ORPHA:98892	Periventricular nodular heterotopia
ORPHA:88618	S-adenosylhomocysteine hydrolase deficiency
ORPHA:182050	MYH9-related disease
ORPHA:3063	X-linked intellectual disability, Snyder type
ORPHA:2494	Ménétrier disease
ORPHA:2958	X-linked intellectual disability-dysmorphism-cerebral atrophy syndrome
ORPHA:2375	Laryngeal abductor paralysis-intellectual disability syndrome
ORPHA:3052	X-linked intellectual disability-seizures-psoriasis syndrome
ORPHA:98673	Autosomal dominant optic atrophy, classic form
ORPHA:244242	HELLP syndrome
ORPHA:415	Hyperornithinemia-hyperammonemia-homocitrullinuria syndrome
ORPHA:1201	Small bowel atresia
ORPHA:79452	Milroy disease
ORPHA:90186	Meige disease
ORPHA:1123	Caudal appendage-deafness syndrome
ORPHA:90280	Chilblain lupus
ORPHA:3417	Van den Bosch syndrome
ORPHA:93932	FG syndrome type 1
ORPHA:713	Glycogen storage disease due to phosphoglycerate kinase 1 deficiency
ORPHA:255210	Mitochondrial DNA-associated Leigh syndrome
ORPHA:3078	Severe X-linked intellectual disability, Gustavson type
ORPHA:3077	X-linked intellectual disability-psychosis-macroorchidism syndrome
ORPHA:51188	Ethylmalonic encephalopathy
ORPHA:263516	Progressive myoclonic epilepsy type 3
ORPHA:35689	Primary lateral sclerosis
ORPHA:500150	Brain malformations-musculoskeletal abnormalities-facial dysmorphism-intellectual disability syndrome
ORPHA:488613	Global developmental delay-neuro-ophthalmological abnormalities-seizures-intellectual disability syndrome
ORPHA:849	Glanzmann thrombasthenia
ORPHA:274	Bernard-Soulier syndrome
ORPHA:508488	8q24.3 microdeletion syndrome
ORPHA:443167	NUT midline carcinoma
ORPHA:139536	Distal hereditary motor neuropathy type 5
ORPHA:2137	Autoimmune hepatitis
ORPHA:2157	Histidinemia
ORPHA:79124	Hepatic veno-occlusive disease-immunodeficiency syndrome
ORPHA:478029	Combined oxidative phosphorylation defect type 29
ORPHA:66634	Dilated cardiomyopathy with ataxia
ORPHA:254864	Mitochondrial myopathy with reversible cytochrome C oxidase deficiency
ORPHA:264675	Hereditary pulmonary alveolar proteinosis
ORPHA:79147	Familial reactive perforating collagenosis
ORPHA:284984	Aneurysm-osteoarthritis syndrome
ORPHA:370348	Peripheral primitive neuroectodermal tumor
ORPHA:2714	Oculo-palato-cerebral syndrome
ORPHA:505237	Early-onset seizures-distal limb anomalies-facial dysmorphism-global developmental delay syndrome
ORPHA:1051	Ramos-Arroyo syndrome
ORPHA:94093	Neuroleptic malignant syndrome
ORPHA:314769	Somatomammotropinoma
ORPHA:2266	Hypotrichosis-intellectual disability, Lopes type
ORPHA:525731	Pediatric-onset Graves disease
ORPHA:2172	Microcephaly-glomerulonephritis-marfanoid habitus syndrome
ORPHA:488333	Autosomal dominant Charcot-Marie-Tooth disease type 2W
ORPHA:99947	Autosomal dominant Charcot-Marie-Tooth disease type 2A2
ORPHA:324442	Autosomal recessive axonal neuropathy with neuromyotonia
ORPHA:254361	Plectin-related limb-girdle muscular dystrophy R17
ORPHA:2269	Ichthyosis-alopecia-eclabion-ectropion-intellectual disability syndrome
ORPHA:352479	ISPD-related limb-girdle muscular dystrophy R20
ORPHA:2324	Osteopenia-intellectual disability-sparse hair syndrome
ORPHA:2282	Dysmorphism-short stature-deafness-difference of sex development syndrome
ORPHA:251639	Subependymoma
